,logo_id,photo_id,brand,count,area,width,height,area_size,mean_X,mean_Y,distance,section,pct_of_logo,from
2782,5,852.2012-02-22,nike,1,3721.65,612,612,374544,0.7921813725490197,0.4664338235294118,0.2941031157051616,Z6,0.009936482763039857,instagram
2783,5,853.2012-02-22,nike,1,2682.11,612,612,374544,0.6038888888888889,0.3108946078431372,0.21576318170014264,Z2,0.007161001110683926,instagram
2784,5,855.2012-02-22,nike,1,301.99,612,612,374544,0.5304452614379085,0.3681699346405228,0.13529996332854868,Z5,0.000806287111794609,instagram
2785,5,858.2012-02-22,nike,1,1229.28,612,612,374544,0.4674632352941177,0.6435334967320261,0.1471750853291701,Z5,0.003282070998333974,instagram
2786,5,861.2012-02-22,nike,1,1844.67,612,612,374544,0.6087295751633987,0.5073692810457516,0.10897902008342904,Z5,0.004925108932461873,instagram
2787,5,850.2012-02-22,nike,1,921.28,612,612,374544,0.4452042483660131,0.4294321895424836,0.08934422348367876,Z5,0.002459737707719253,instagram
2788,5,865.2012-02-12,nike,1,5515.31,612,612,374544,0.2335580065359477,0.4991013071895425,0.2664435090781264,Z4,0.01472539941902687,instagram
2789,5,862.2012-02-21,nike,1,1651.32,612,612,374544,0.2247058823529412,0.5749550653594772,0.2853158128006861,Z4,0.004408881199538639,instagram
2790,5,898.2012-01-01,nike,1,763.73,612,612,374544,0.4059232026143791,0.4537581699346405,0.1048272419465892,Z5,0.002039092870263574,instagram
2791,5,897.2012-01-01,nike,1,25813.46,612,612,374544,0.6015767973856209,0.6569076797385621,0.18691673474587195,Z5,0.06891969968815413,instagram
2792,5,895.2012-01-10,nike,1,743.12,612,612,374544,0.3189093137254902,0.3781576797385621,0.21826449015372093,Z4,0.001984065957537699,instagram
2793,5,878.2012-01-26,nike,1,435.5,612,612,374544,0.4646160130718954,0.40859477124183,0.0980150109690432,Z5,0.0011627472339698407,instagram
2794,5,98.2016-01-31,nike,1,1520.91,1080,1080,1166400,0.5054212962962963,0.4355115740740741,0.06471589860255264,Z5,0.0013039351851851853,instagram
